steering angle	CTE
-0.00554225	0.167
0.0186111	0.1381
0.0106828	0.117
0.0363238	0.084
0.0131658	0.0618
0.0355218	0.0297
0.018377	0.0094
0.030212	-0.0183
0.0184665	-0.0347
0.0226173	-0.0556
0.00688022	-0.067
0.014631	-0.0799
0.000322397	-0.0859
0.000793903	-0.0909
-0.00751472	-0.0917
-0.0139853	-0.0895
-0.0165446	-0.0859
-0.0265458	-0.078
0.00553397	-0.0856
0.0561357	-0.1158
0.30245	-0.2593
0.210688	-0.354
0.265605	-0.477
0.176435	-0.5443
0.208184	-0.6203
0.125567	-0.6545
0.111532	-0.6803
0.0609298	-0.6813
0.0204692	-0.661
0.124244	-0.6922
0.447056	-0.8697
0.29747	-0.977
0.36154	-1.1021
0.236267	-1.16
0.193912	-1.1965
0.179026	-1.2233
0.12037	-1.2227
0.0476735	-1.1889
0.0233911	-1.1461
-0.084548	-1.0574
-0.0579683	-0.9844
-0.0825748	-0.9041
-0.137632	-0.803
0.24954	-0.8822
0.399434	-1.0316
0.543548	-1.2373
0.495192	-1.4054
0.329579	-1.489
0.281051	-1.5466
0.277308	-1.5994
0.178062	-1.6047
-0.0191112	-1.5223
0.852231	-1.821
0.574971	-2.0006
0.687229	-2.2222
0.483907	-2.3307
0.470842	-2.4259
0.297564	-2.4445
0.187147	-2.4069
0.0312396	-2.2968
0.0447042	-2.1951
0.170697	-2.1631
0.339494	-2.2217
0.360161	-2.2939
0.287842	-2.3149
0.22317	-2.2996
0.109706	-2.2291
0.0873669	-2.1536
-0.0247446	-2.0047
-0.00667183	-1.8847
-0.180152	-1.6829
-0.103793	-1.5364
-0.195341	-1.3347
0.0013055	-1.2613
-0.0340828	-1.1788
-0.0255524	-1.0946
-0.0302627	-1.0072
-0.00420687	-0.9481
-0.0777787	-0.8591
-0.0883418	-0.7693
-0.0450993	-0.7102
-0.0936642	-0.6283
0.0487697	-0.6241
0.156314	-0.6751
0.121792	-0.7102
0.139596	-0.7545
0.126267	-0.7865
0.0989899	-0.7999
0.0894473	-0.8065
0.0705448	-0.802
0.0381621	-0.7821
0.0469693	-0.7655
0.0745838	-0.7662
0.0808019	-0.7704
0.0644755	-0.7644
0.0497033	-0.7518
0.0173344	-0.7205
0.0154572	-0.6916
-0.025898	-0.6384
-0.0206879	-0.5968
-0.0821622	-0.528
-0.102476	-0.4528
-0.0542525	-0.4011
-0.102332	-0.325
-0.0645119	-0.2752
-0.122456	-0.204
-0.068132	-0.1592
-0.0932244	-0.0985
-0.106589	-0.0454
-0.0693571	-0.0144
-0.0890307	0.0239
-0.0461511	0.0391
-0.0412128	0.0519
-0.0263954	0.0552
-0.0186973	0.0541
-0.00549866	0.0466
-0.00394866	0.0387
0.00949122	0.0239
0.00101899	0.0125
0.0194559	-0.0056
0.0094572	-0.0181
0.0221748	-0.036
0.0116827	-0.0473
0.0159321	-0.0621
0.0158267	-0.0742
0.00638086	-0.0805
0.00762482	-0.087
0.000175093	-0.0893
0.0410427	-0.113
-0.14831	-0.0348
-0.105435	0.0135
-0.13697	0.0799
-0.10158	0.1202
-0.130609	0.1729
-0.0911169	0.2026
-0.0956145	0.2376
-0.0700719	0.2545
-0.071109	0.2706
-0.0535258	0.2753
-0.0435799	0.2738
-0.0351707	0.2676
-0.0165108	0.2512
-0.014353	0.2361
0.00927006	0.2088
-0.0022739	0.1879
0.029134	0.1544
0.0370211	0.1191
0.018083	0.0955
0.0379228	0.0619
0.0375199	0.0309
0.0175668	0.0122
0.0258676	-0.0118
0.0130354	-0.0251
0.0189418	-0.0408
0.00955519	-0.0514
-0.000929268	-0.0556
-0.00442072	-0.0575
-0.243299	0.0854
-0.0150558	0.0807
-0.141834	0.145
-0.334784	0.305
-0.24273	0.4078
-0.2202	0.5005
-0.294965	0.6192
-0.185378	0.6847
-0.222198	0.7572
-0.158826	0.789
-0.145427	0.8118
-0.106945	0.811
-0.0844996	0.7984
-0.0331159	0.7595
-0.0494822	0.7298
-0.204861	0.7892
-0.268118	0.8763
-0.327631	0.9904
-0.237147	1.0502
-0.228797	1.1091
-0.182558	1.1322
-0.139056	1.1285
-0.0832615	1.096
-0.0690254	1.0579
-0.0551556	1.0085
0.0407381	0.9163
0.0161279	0.844
0.109076	0.726
0.142607	0.5995
0.0681904	0.5138
0.155761	0.3898
0.0950257	0.3103
0.0379017	0.2638
-0.303012	0.3963
-0.75599	0.7949
-0.642147	1.0819
-0.874058	1.4901
-0.664497	1.7402
-0.871897	2.0726
-0.622841	2.2604
-0.709253	2.4812
-0.497081	2.5846
-0.454621	2.666
-0.336223	2.6724
-0.218657	2.6151
-0.165187	2.5353
-0.00724612	2.3637
-0.00536464	2.2188
0.0516299	2.0654
0.29046	1.8064
0.164944	1.6188
0.399718	1.3336
0.227807	1.144
0.396852	0.8742
0.221566	0.7058
0.0927255	0.6153
-0.324655	0.729
-0.786842	1.0878
-0.707249	1.3509
-0.892392	1.7322
-0.712528	1.9715
-1.00445	2.3025
-0.723622	2.4966
-0.800459	2.7375
-0.606238	2.8595
-0.59981	2.9804
-0.448103	3.0197
-0.355756	3.0147
-0.27088	2.9701
-0.102261	2.8472
-0.107667	2.7303
0.087813	2.5142
-0.029371	2.3458
0.287901	2.07
0.106026	1.873
0.37795	1.5757
0.217969	1.3788
0.395018	1.0984
0.182063	0.9316
0.148434	0.7993
-0.137326	0.8113
-0.222245	0.8622
-0.207071	0.9037
-0.25046	0.9635
-0.208675	0.999
-0.222708	1.0405
-0.180418	1.0588
-0.164396	1.07
-0.136984	1.0662
-0.0966	1.0438
-0.091688	1.0178
-0.0243491	0.9641
-0.123289	0.9596
-0.220698	1.0066
-0.446401	1.1502
-0.317402	1.2369
-0.365119	1.334
-0.280129	1.3895
-0.206141	1.4025
-0.14999	1.3865
-0.112979	1.3541
-0.0225741	1.2768
-0.0371618	1.2082
0.067509	1.0867
0.153855	0.9466
0.0869515	0.8467
0.159081	0.6967
0.168386	0.5487
0.0811246	0.4537
0.18463	0.3219
0.116501	0.2407
0.178336	0.1334
0.0898575	0.0723
-0.0547717	0.0838
-0.225178	0.1777
-0.457055	0.3858
-0.439289	0.5925
-0.365148	0.7193
-0.34901	0.8319
-0.415945	0.9722
-0.318329	1.0755
-0.238592	1.12
-0.206092	1.15
-0.148792	1.1469
-0.0818703	1.1103
-0.00894374	1.0391
-0.0168223	0.9754
0.0770119	0.8628
0.134299	0.7331
0.0535691	0.641
0.177182	0.5026
0.196381	0.3645
0.0987498	0.276
0.189506	0.1556
0.176535	0.0489
0.0710715	-0.0069
-0.125244	0.0472
-0.218604	0.1525
-0.378234	0.3276
-0.390951	0.4965
-0.263346	0.5984
-0.352609	0.7257
-0.305421	0.8234
-0.210708	0.8697
-0.20124	0.9079
-0.133843	0.9113
-0.0996556	0.8951
-0.0274445	0.8462
0.030068	0.7713
0.0684894	0.6763
0.0290547	0.6054
0.119309	0.4934
0.146214	0.3762
0.0846086	0.2983
0.165037	0.1879
0.139683	0.0871
0.0286466	0.0515
-0.114956	0.094
-0.204433	0.1783
-0.20034	0.2654
-0.152707	0.3196
-0.201074	0.3904
-0.182623	0.4481
-0.152131	0.4893
-0.10984	0.5061
-0.101092	0.5158
-0.0673928	0.5081
-0.0593697	0.4967
-0.17767	0.5475
-0.227541	0.6268
-0.21648	0.6885
-0.152785	0.7165
-0.145062	0.7366
-0.100019	0.7322
-0.0516301	0.7048
-0.0463829	0.6748
0.017753	0.6156
0.0408764	0.5497
-0.0610733	0.5341
-0.0528721	0.5182
-0.0357789	0.4949
-0.011701	0.4631
-0.0246709	0.4378
0.0100099	0.3955
0.0226833	0.3488
0.00279664	0.316
0.0333581	0.2709
-0.0965996	0.2925
-0.161012	0.3423
-0.15803	0.3893
-0.122445	0.4155
-0.132066	0.4438
-0.104564	0.4591
-0.0799882	0.4605
-0.0643169	0.4537
-0.0348454	0.4332
-0.0181717	0.4012
0.0143275	0.3598
-0.00833901	0.3281
0.0373607	0.277
0.0579158	0.2223
0.0262377	0.1857
-0.0108523	0.1682
-0.0980746	0.196
-0.100188	0.2254
-0.0852672	0.2434
-0.0914793	0.2653
-0.0863821	0.2804
-0.0729687	0.2879
-0.055889	0.2869
-0.0468612	0.2816
-0.0778389	0.2922
-0.162316	0.3424
-0.144795	0.3796
-0.158345	0.4238
-0.133448	0.4524
-0.0974101	0.4636
-0.0738409	0.4612
-0.0434048	0.4445
-0.0111588	0.4135
0.0165917	0.3706
0.00141379	0.3369
0.0545954	0.2818
0.0527921	0.2224
0.0727249	0.1625
0.0381663	0.1237
0.0768212	0.0696
0.0540331	0.0247
0.0689379	-0.0291
-0.149389	0.0322
-0.106638	0.0694
-0.0963029	0.1061
-0.0823161	0.1276
-0.0898112	0.1553
-0.08828	0.1772
-0.0745616	0.1921
-0.0589036	0.1976
-0.0517102	0.1994
-0.111413	0.2305
-0.111263	0.26
-0.13839	0.3053
-0.131704	0.3389
-0.102368	0.3587
-0.0757181	0.3633
-0.0562972	0.3583
-0.0301244	0.3404
-0.0263431	0.3219
0.00527681	0.2866
0.0191131	0.2435
0.00629546	0.2117
0.0481085	0.1616
0.0588039	0.1097
0.0697434	0.0586
0.063698	0.0114
0.0585431	-0.0296
0.0224246	-0.0527
0.0316396	-0.0806
0.0182255	-0.1009
0.00986686	-0.114
-0.00216826	-0.1189
-0.0585729	-0.0953
-0.151615	-0.0289
-0.163725	0.0408
-0.120696	0.0849
-0.150536	0.143
-0.136836	0.191
-0.118961	0.2266
-0.0802407	0.2426
-0.0778368	0.255
-0.0540325	0.2546
-0.0335612	0.2423
-0.0479239	0.2391
-0.0621488	0.2441
-0.0810401	0.2579
-0.0657341	0.263
-0.0519377	0.261
-0.0345074	0.2503
-0.0159572	0.231
0.00235988	0.2045
0.014469	0.1726
0.0236241	0.1373
0.00789118	0.1129
0.0285061	0.0763
0.0389841	0.0404
0.00964445	0.0175
0.0331476	-0.0138
0.0335752	-0.0417
0.0261514	-0.0652
0.00546639	-0.0779
-0.00886299	-0.0818
-0.0681077	-0.0557
-0.0624869	-0.0333
-0.0905219	0.0005
-0.0872833	0.0329
-0.0869409	0.0614
